,American football,Baseball,Basketball,Bowling,Boxing,Cycling and Road Bicycle Racing,Fencing,Figure Skating,Golf,Horse Racing,Ice hockey,Indianapolis 500,Kayaking,Mixed martial arts,NASCAR,Other individual sports,Other motor sports,Other team sports,Skiing,Snowboarding,Soccer,Surfing,Swimming,Tennis,Track & Field,Wrestling,Grand Total
1954,2,2,1,,,,,,1,3,,,,,,6,1,3,,,,,1,,,,20
1955,7,9,,1,1,,1,1,2,4,,,,,,14,,2,4,,,,2,1,3,,52
1956,8,13,1,,1,,,1,3,5,1,1,1,,,8,1,,2,,,,2,1,4,,53
1957,4,9,3,,4,,,,2,5,2,1,,,,11,2,2,3,,,,,2,1,1,52
1958,4,12,2,,3,,,1,4,3,1,1,,,,7,,5,1,,,1,2,3,2,,52
1959,4,5,1,,2,,,,7,5,1,1,,,,9,3,4,3,,,,1,2,4,,52
1960,6,6,2,1,2,,,,8,2,3,,,,,12,1,2,2,,,,1,,4,,52
1961,7,7,4,,2,,,1,8,3,,1,,,,7,1,3,1,,,,2,2,3,,52
1962,8,9,3,,3,,,,8,2,1,,,,,6,1,4,3,,,1,3,1,,,53
1963,12,8,3,,3,,,,6,3,2,,,,,6,1,1,3,,,,1,2,1,,52
1964,12,7,3,,5,,,,7,2,2,1,,,,1,,2,3,,,,1,1,5,,52
1965,13,9,5,,7,,,,6,1,1,1,,,,,,3,2,,,,1,1,2,,52
1966,16,8,7,,1,,,1,5,1,2,1,,,,,,1,2,,,1,1,1,4,,52
1967,14,11,6,,4,,,,5,,3,1,,,,,1,1,2,,,1,1,,2,,52
1968,12,11,8,,,,,1,4,2,2,1,,,1,3,,,2,,,,2,1,3,,53
1969,16,11,11,,1,,,,4,,2,,,,,4,,,1,,,1,,,1,,52
1970,16,10,11,,,,,,3,,4,1,,,,1,,2,,,,,,,4,,52
1971,15,10,9,,3,,,,3,1,2,,,,,1,2,2,1,,,,,1,2,,52
1972,15,10,11,,,,,,2,1,3,1,,,1,3,,,,,1,,2,1,1,,52
1973,14,9,10,,2,,,,2,1,3,,,,,3,2,1,,,1,,1,2,2,,53
1974,14,10,9,,4,,,,5,1,3,1,,,,1,,,,,,1,,3,,,52
1975,11,11,7,,4,,,,4,1,2,1,,,,2,,1,,,1,,2,3,2,,52
1976,12,10,10,,2,,,1,1,1,2,,,,,3,,1,1,,,,,4,4,,52
1977,11,11,9,,3,,,,2,5,3,,,,1,3,,2,,,,,,1,1,,52
1978,11,6,9,,4,,,,7,3,1,1,,,,4,,1,,,1,,,2,2,,52
1979,13,9,11,,4,,,,3,1,1,,,,,1,,3,,,1,,,2,4,,53
1980,9,9,8,,6,,,1,2,1,5,1,,,,3,,2,,,,,,2,3,,52
1981,14,13,9,,7,,,,2,,2,1,,,,,,,,,,,1,3,,,52
1982,17,9,10,,6,,,,1,,2,,,,,1,,1,,,,1,,3,1,,52
1983,17,9,10,,6,,,,1,1,1,,,,,1,,1,,,,,,2,3,,52
1984,15,9,10,,,,,1,,,2,,,,,5,,,2,,,,2,3,4,,53
1985,16,13,9,,4,,,,2,,1,1,,,1,1,,1,,,,,,1,1,1,52
1986,15,10,12,,4,,,,2,,1,,,,,4,,2,,,1,,,1,,,52
1987,15,15,12,,2,,,,2,,1,,,,,2,,,,,,1,1,,1,,52
1988,13,12,11,,5,,,1,,,1,,,1,,2,,1,,,,,,1,4,,52
1989,17,10,11,,2,2,,,3,1,2,,,,,,,1,,,,,,3,,,52
1990,17,12,11,,3,1,,,1,,1,,,,,1,,2,,,,,,4,,,53
1991,15,10,12,,3,,,,2,,1,,,,,2,,1,,,,,,3,3,,52
1992,11,11,11,,3,,,1,2,,1,,,,,5,,,1,,,,1,3,2,,52
1993,18,10,13,,2,,,,1,,2,,,,,2,,1,,,,,,3,,,52
1994,18,10,9,,2,,,2,,,2,,,,,1,,2,1,,2,,1,2,,,52
1995,17,13,14,,1,,,,2,,,,,,,2,1,,,,,,,2,,,52
1996,15,10,14,,3,,,,3,,2,,,,,2,,,,,,,2,,2,,53
1997,17,7,17,,4,,,,2,,1,,,,,1,,1,,,,,,2,,,52
1998,13,17,14,,2,,,1,2,,,,,,,2,,,1,,,,,,,,52
1999,16,7,17,,1,,,,3,,1,,,,,,,3,,,2,,,2,,,52
2000,16,10,14,,,1,,,4,,1,,,,,2,,1,,,,,1,1,1,,52
2001,17,13,12,,,1,,,2,,2,,,,1,2,,3,,,,,,,,,53
2002,18,8,11,,1,2,,1,1,,2,,,,1,4,,,,,3,,,,,,52
2003,17,10,17,,,1,,,1,,,,,,,3,,1,,,1,,,1,,,52
2004,15,13,15,,,2,,,1,1,,,,,,,,3,,,,,1,1,,,52
2005,24,8,11,,,2,,,3,,,1,,,1,,,2,,,,,,,,,52
2006,21,11,9,,,1,,,4,,,,,,,,,2,1,2,1,,,,,,52
2007,24,12,9,,1,,,,2,,1,,,1,,1,,1,,,1,,,,,,53
2008,18,10,12,,,,,,1,,,1,,,2,1,,2,,,,,4,1,,,52
2009,19,15,11,,,,,,1,1,,,,,,1,,2,,,,,,1,1,,52
2010,21,10,10,,1,,,,1,,1,,,,,2,,1,2,,2,,,1,,,52
2011,20,12,13,,,,,,1,,1,,,,1,1,,2,,,1,,,,,,52
2012,22,6,16,,,,,,1,,,,,,,2,,4,,,,,2,,,,53
2013,18,10,8,,,,,,1,,3,,,,,1,,10,,,,,,,1,,52
Grand Total,852,597,558,2,134,13,1,15,169,61,87,20,1,2,10,173,17,99,44,2,19,8,42,83,88,2,3099
