,American football,Baseball,Basketball,Grand Total,,,,,,,,,,,,,,,,,,,,,
1954,2,2,1,20,,,,,,,,,,,,,,,,,,,,,
1955,7,9,,52,,,,,,,,,,,,,,,,,,,,,
1956,8,13,1,53,,,,,,,,,,,,,,,,,,,,,
1957,4,9,3,52,,,,,,,,,,,,,,,,,,,,,
1958,4,12,2,52,,,,,,,,,,,,,,,,,,,,,
1959,4,5,1,52,,,,,,,,,,,,,,,,,,,,,
1960,6,6,2,52,,,,,,,,,,,,,,,,,,,,,
1961,7,7,4,52,,,,,,,,,,,,,,,,,,,,,
1962,8,9,3,53,,,,,,,,,,,,,,,,,,,,,
1963,12,8,3,52,,,,,,,,,,,,,,,,,,,,,
1964,12,7,3,52,,,,,,,,,,,,,,,,,,,,,
1965,13,9,5,52,,,,,,,,,,,,,,,,,,,,,
1966,16,8,7,52,,,,,,,,,,,,,,,,,,,,,
1967,14,11,6,52,,,,,,,,,,,,,,,,,,,,,
1968,12,11,8,53,,,,,,,,,,,,,,,,,,,,,
1969,16,11,11,52,,,,,,,,,,,,,,,,,,,,,
1970,16,10,11,52,,,,,,,,,,,,,,,,,,,,,
1971,15,10,9,52,,,,,,,,,,,,,,,,,,,,,
1972,15,10,11,52,,,,,,,,,,,,,,,,,,,,,
1973,14,9,10,53,,,,,,,,,,,,,,,,,,,,,
1974,14,10,9,52,,,,,,,,,,,,,,,,,,,,,
1975,11,11,7,52,,,,,,,,,,,,,,,,,,,,,
1976,12,10,10,52,,,,,,,,,,,,,,,,,,,,,
1977,11,11,9,52,,,,,,,,,,,,,,,,,,,,,
1978,11,6,9,52,,,,,,,,,,,,,,,,,,,,,
1979,13,9,11,53,,,,,,,,,,,,,,,,,,,,,
1980,9,9,8,52,,,,,,,,,,,,,,,,,,,,,
1981,14,13,9,52,,,,,,,,,,,,,,,,,,,,,
1982,17,9,10,52,,,,,,,,,,,,,,,,,,,,,
1983,17,9,10,52,,,,,,,,,,,,,,,,,,,,,
1984,15,9,10,53,,,,,,,,,,,,,,,,,,,,,
1985,16,13,9,52,,,,,,,,,,,,,,,,,,,,,
1986,15,10,12,52,,,,,,,,,,,,,,,,,,,,,
1987,15,15,12,52,,,,,,,,,,,,,,,,,,,,,
1988,13,12,11,52,,,,,,,,,,,,,,,,,,,,,
1989,17,10,11,52,,,,,,,,,,,,,,,,,,,,,
1990,17,12,11,53,,,,,,,,,,,,,,,,,,,,,
1991,15,10,12,52,,,,,,,,,,,,,,,,,,,,,
1992,11,11,11,52,,,,,,,,,,,,,,,,,,,,,
1993,18,10,13,52,,,,,,,,,,,,,,,,,,,,,
1994,18,10,9,52,,,,,,,,,,,,,,,,,,,,,
1995,17,13,14,52,,,,,,,,,,,,,,,,,,,,,
1996,15,10,14,53,,,,,,,,,,,,,,,,,,,,,
1997,17,7,17,52,,,,,,,,,,,,,,,,,,,,,
1998,13,17,14,52,,,,,,,,,,,,,,,,,,,,,
1999,16,7,17,52,,,,,,,,,,,,,,,,,,,,,
2000,16,10,14,52,,,,,,,,,,,,,,,,,,,,,
2001,17,13,12,53,,,,,,,,,,,,,,,,,,,,,
2002,18,8,11,52,,,,,,,,,,,,,,,,,,,,,
2003,17,10,17,52,,,,,,,,,,,,,,,,,,,,,
2004,15,13,15,52,,,,,,,,,,,,,,,,,,,,,
2005,24,8,11,52,,,,,,,,,,,,,,,,,,,,,
2006,21,11,9,52,,,,,,,,,,,,,,,,,,,,,
2007,24,12,9,53,,,,,,,,,,,,,,,,,,,,,
2008,18,10,12,52,,,,,,,,,,,,,,,,,,,,,
2009,19,15,11,52,,,,,,,,,,,,,,,,,,,,,
2010,21,10,10,52,,,,,,,,,,,,,,,,,,,,,
2011,20,12,13,52,,,,,,,,,,,,,,,,,,,,,
2012,22,6,16,53,,,,,,,,,,,,,,,,,,,,,
2013,18,10,8,52,,,,,,,,,,,,,,,,,,,,,
Grand Total,852,597,558,3099,,,,,,,,,,,,,,,,,,,,,
